type;chemin;niveau;nom_page;nb_produits_listes;pages_pagination;sous_categories;url
categorie;Acier;1;Acier;293;49;;https://www.aciersgrosjean.be/acier
categorie;Acier > Armature béton;2;Armature béton — ronds, treillis & façonnage sur mesure;28;5;;https://www.aciersgrosjean.be/armature-béton-2
categorie;Acier > Armature béton > Coupé plié;3;Façonnage d'Acier : Coupé-Plié et Assemblage sur Mesure;0;1;;https://www.aciersgrosjean.be/coupé-plié-2
categorie;Acier > Armature béton > Rond à béton crénélé à chaud;3;Rond à béton crénelé à chaud – Fer à béton armature;6;1;;https://www.aciersgrosjean.be/rond-à-béton-crénélé-à-chaud
categorie;Acier > Armature béton > Rond à béton crénélé à froid;3;Rond à béton crénelé à froid – Acier haute adhérence;1;1;;https://www.aciersgrosjean.be/rond-à-béton-crénélé-à-froid
categorie;Acier > Armature béton > Treillis soudés;3;Treillis soudé pour béton armé – Panneaux bruts et galvanisés;17;3;;https://www.aciersgrosjean.be/treillis-soudés-2
categorie;Acier > Armature béton > Treillis soudés avec dépassants;3;Treillis soudé avec dépassants Armature béton prête à l’emploi;4;1;;https://www.aciersgrosjean.be/treillis-soudés-avec-dépassants
categorie;Acier > Poutrelle;2;Poutrelle acier – Solidité et polyvalence pour toutes vos constructions;45;8;;https://www.aciersgrosjean.be/poutrelle-4
categorie;Acier > Poutrelle > Poutrelle HEA;3;Poutrelle HEA en acier : robustesse et polyvalence pour vos constructions;11;2;;https://www.aciersgrosjean.be/poutrelle-hea
categorie;Acier > Poutrelle > Poutrelle HEB;3;Poutrelle HEB en acier : performance et endurance pour charges lourdes;11;2;;https://www.aciersgrosjean.be/poutrelle-heb
categorie;Acier > Poutrelle > Poutrelle HEM;3;Poutrelle HEM en acier : performance maximale pour vos structures lourdes;0;1;;https://www.aciersgrosjean.be/poutrelle-hem
categorie;Acier > Poutrelle > Poutrelle IPE;3;Poutrelle en acier pour la construction IPE;11;2;;https://www.aciersgrosjean.be/poutrelle-ipe-2
categorie;Acier > Poutrelle > Poutrelle UPN;3;Poutrelle UPN en acier : robustesse et polyvalence pour vos structures métalliques;12;2;;https://www.aciersgrosjean.be/poutrelle-upn
categorie;Acier > Produit long;2;Produits longs : cornières, fers U et T, plats & ronds;76;13;;https://www.aciersgrosjean.be/produit-long-3
categorie;Acier > Produit long > Carré plein;3;Carré plein;7;2;;https://www.aciersgrosjean.be/carré-plein
categorie;Acier > Produit long > Cornière inégale en acier laminé à chaud;3;Cornière inégale en acier laminé à chaud;5;1;;https://www.aciersgrosjean.be/cornière-inégale-en-acier-laminé-à-chaud
categorie;Acier > Produit long > Cornière égale en acier laminé à chaud;3;Cornière égale en acier laminé à chaud – S235JR;10;2;;https://www.aciersgrosjean.be/cornière-égale-en-acier-laminé-à-chaud
categorie;Acier > Produit long > Fer T;3;Fer T;5;1;;https://www.aciersgrosjean.be/fer-t-ok-2
categorie;Acier > Produit long > Fer en U;3;Fer en U;0;1;;https://www.aciersgrosjean.be/fer-en-u
categorie;Acier > Produit long > Large plat en acier laminé à chaud;3;Large plat en acier laminé à chaud;3;1;;https://www.aciersgrosjean.be/large-plat-en-acier-laminé-à-chaud
categorie;Acier > Produit long > Plat en acier laminé à chaud;3;Plat en acier laminé à chaud;37;7;;https://www.aciersgrosjean.be/plat-en-acier-laminé-à-chaud
categorie;Acier > Produit long > Rond plein lisse;3;Rond plein lisse;9;2;;https://www.aciersgrosjean.be/rond-plein-lisse
categorie;Acier > Tube;2;Tubes acier ronds, carrés et rectangulaires;68;12;;https://www.aciersgrosjean.be/tube-3
categorie;Acier > Tube > Tube carré acier;3;Tube carré acier;36;6;;https://www.aciersgrosjean.be/tube-carré-acier-3
categorie;Acier > Tube > Tube rectangle acier;3;Tube rectangulaire acier – Robustesse et performance pour vos constructions;21;4;;https://www.aciersgrosjean.be/tube-rectangle-acier
categorie;Acier > Tube > Tube rond acier;3;Tube rond en acier – Résistant, polyvalent et prêt à l’emploi;11;2;;https://www.aciersgrosjean.be/tube-rond-acier
categorie;Acier > Tôle;2;Tôles et Plaques en Acier – Vente en ligne et sur mesure;76;13;;https://www.aciersgrosjean.be/tôle-3
categorie;Acier > Tôle > Tôle Corten;3;Tôle Corten - L'acier qui rouille... naturellement !;5;1;;https://www.aciersgrosjean.be/tôle-corten
categorie;Acier > Tôle > Tôle décapée;3;Tôle décapée - Meilleure usinabilité;0;1;;https://www.aciersgrosjean.be/tôle-décapée
categorie;Acier > Tôle > Tôle galvanisée;3;Tôle galvanisée - Protection contre la corrosion et la rouille;12;2;;https://www.aciersgrosjean.be/tôle-galvanisée
categorie;Acier > Tôle > Tôle laminé à chaud;3;Tôle laminée à chaud S235JR – Acier de construction polyvalent;36;6;;https://www.aciersgrosjean.be/tôle-laminé-à-chaud
categorie;Acier > Tôle > Tôle laminé à froid;3;Tôle laminée à froid S235JR - Acier de précision;8;2;;https://www.aciersgrosjean.be/tôle-laminé-à-froid-6
categorie;Acier > Tôle > Tôle larmée en acier;3;Tôle larmée en acier – Antidérapante et robuste;6;1;;https://www.aciersgrosjean.be/tôle-larmée-en-acier
