ID;URL;Chemin;Page;H1_ou_nom;Type;Parent;Template;Accessible;Sitemap;Priorite;Title;MetaDescLen;H1;Canonical;Lastmod;ProfondeurBC;Donnees;URL_cible_recommandee;Action_recommandee
U001;https://www.aciersgrosjean.be/;/;Accueil;Spécialiste de l’acier pour les pros et particuliers - Aciers Grosjean;homepage;—;T01 Homepage;200;oui;P0;Spécialiste de l’acier pour les pros et particuliers;163;0;absente;09-09-26;0;;/;conserver
U002;https://www.aciersgrosjean.be/acier;/acier;Acier;Acier;category;Accueil;T02 Catégorie parent;200;oui;P0;Acier;0;1;self;09-07-26;2;s5~p6~pg49~dc179;/acier;conserver
U003;https://www.aciersgrosjean.be/armature-béton-2;/armature-béton-2;Armature béton;Armature béton — ronds, treillis & façonnage sur mesure;subcategory;Acier;T02 Catégorie parent;200;oui;P1;Armature béton;0;1;self;07-07-26;3;s5~p6~pg5~dc410;/acier/armatures-beton;301
U004;https://www.aciersgrosjean.be/rond-à-béton-crénélé-à-froid;/rond-à-béton-crénélé-à-froid;Rond à béton crénélé à froid;Rond à béton crénelé à froid – Acier haute adhérence;subcategory;Armature béton;T03 Catégorie feuille;200;oui;P1;Rond à béton crénelé à froid – Acier haute adhérence;253;1;self;22-05-26;4;s0~p1~pg1~dc775;/acier/armatures-beton/rond-a-beton-lamine-a-froid;301
U005;https://www.aciersgrosjean.be/rond-à-béton-crénélé-à-chaud;/rond-à-béton-crénélé-à-chaud;Rond à béton crénélé à chaud;Rond à béton crénelé à chaud – Fer à béton armature;subcategory;Armature béton;T03 Catégorie feuille;200;oui;P1;Rond à béton crénelé à chaud – Fer à béton armature;255;1;self;22-05-26;4;s0~p6~pg1~dc771;/acier/armatures-beton/rond-a-beton-lamine-a-chaud;301
U006;https://www.aciersgrosjean.be/treillis-soudés-2;/treillis-soudés-2;Treillis soudés;Treillis soudé pour béton armé – Panneaux bruts et galvanisés;subcategory;Armature béton;T03 Catégorie feuille;200;oui;P1;Treillis soudé pour béton armé – panneaux acier;219;1;self;22-05-26;4;s0~p6~pg3~dc735;/acier/armatures-beton/treillis-soudes;301
U007;https://www.aciersgrosjean.be/treillis-soudés-avec-dépassants;/treillis-soudés-avec-dépassants;Treillis soudés avec dépassants;Treillis soudé avec dépassants Armature béton prête à l’emploi;subcategory;Armature béton;T03 Catégorie feuille;200;oui;P1;Treillis soudé avec dépassants – panneau béton armé;224;1;self;22-05-26;4;s0~p4~pg1~dc862;/acier/armatures-beton/treillis-soudes-depassants;301
U008;https://www.aciersgrosjean.be/coupé-plié-2;/coupé-plié-2;Coupé plié;Façonnage d'Acier : Coupé-Plié et Assemblage sur Mesure;subcategory;Armature béton;T03 Catégorie feuille;200;oui;P2;Coupé-Plié et Armatures Assemblées sur Mesure | Aciers Grosjean;223;1;self;22-05-26;4;s0~p0~pg1~dc794;/services/coupe-plie-armatures;301 (page de contenu à réalimenter ou fusionner)
U009;https://www.aciersgrosjean.be/produit-long-3;/produit-long-3;Produit long;Produits longs : cornières, fers U et T, plats & ronds;subcategory;Acier;T02 Catégorie parent;200;oui;P1;Produit long;0;1;self;07-07-26;3;s8~p6~pg13~dc431;/acier/profiles;301
U010;https://www.aciersgrosjean.be/fer-en-u;/fer-en-u;Fer en U;Fer en U;subcategory;Produit long;T03 Catégorie feuille;200;oui;P2;Fer en U;0;1;self;08-05-25;4;s0~p0~pg1~dc0;/acier/profiles;301 (fusion : catégorie vide)
U011;https://www.aciersgrosjean.be/carré-plein;/carré-plein;Carré plein;Carré plein;subcategory;Produit long;T03 Catégorie feuille;200;oui;P1;Carré plein;0;1;self;08-05-25;4;s0~p6~pg2~dc0;/acier/profiles/carre-plein;301
U012;https://www.aciersgrosjean.be/cornière-égale-en-acier-laminé-à-chaud;/cornière-égale-en-acier-laminé-à-chaud;Cornière égale en acier laminé à chaud;Cornière égale en acier laminé à chaud – S235JR;subcategory;Produit long;T03 Catégorie feuille;200;oui;P1;Cornière égale en acier laminé à chaud – S235JR;176;1;self;21-10-25;4;s0~p6~pg2~dc445;/acier/profiles/corniere-egale;301
U013;https://www.aciersgrosjean.be/large-plat-en-acier-laminé-à-chaud;/large-plat-en-acier-laminé-à-chaud;Large plat en acier laminé à chaud;Large plat en acier laminé à chaud;subcategory;Produit long;T03 Catégorie feuille;200;oui;P1;Large plat en acier laminé à chaud;0;1;self;08-05-25;4;s0~p3~pg1~dc0;/acier/profiles/large-plat;301
U014;https://www.aciersgrosjean.be/plat-en-acier-laminé-à-chaud;/plat-en-acier-laminé-à-chaud;Plat en acier laminé à chaud;Plat en acier laminé à chaud;subcategory;Produit long;T03 Catégorie feuille;200;oui;P1;Plat en acier laminé à chaud;0;1;self;17-10-25;4;s0~p6~pg7~dc0;/acier/profiles/plat;301
U015;https://www.aciersgrosjean.be/cornière-inégale-en-acier-laminé-à-chaud;/cornière-inégale-en-acier-laminé-à-chaud;Cornière inégale en acier laminé à chaud;Cornière inégale en acier laminé à chaud;subcategory;Produit long;T03 Catégorie feuille;200;oui;P1;Cornière inégale en acier laminé à chaud;0;1;self;23-06-25;4;s0~p5~pg1~dc0;/acier/profiles/corniere-inegale;301
U016;https://www.aciersgrosjean.be/rond-plein-lisse;/rond-plein-lisse;Rond plein lisse;Rond plein lisse;subcategory;Produit long;T03 Catégorie feuille;200;oui;P1;Rond plein lisse;0;1;self;08-05-25;4;s0~p6~pg2~dc0;/acier/profiles/rond-plein;301
U017;https://www.aciersgrosjean.be/fer-t-ok-2;/fer-t-ok-2;Fer T;Fer T;subcategory;Produit long;T03 Catégorie feuille;200;oui;P1;Fer T;0;1;self;08-05-25;4;s0~p5~pg1~dc0;/acier/profiles/fer-t;301
U018;https://www.aciersgrosjean.be/tube-3;/tube-3;Tube;Tubes acier ronds, carrés et rectangulaires;subcategory;Acier;T02 Catégorie parent;200;oui;P1;Tube;0;1;self;07-07-26;3;s3~p6~pg12~dc349;/acier/tubes;301
