id;nom;univers;categorie;sous_categorie;niveau_4;autres_categories;reference_interne_sku;reference_fabricant;prix_ttc;prix_affiche;unite;disponibilite;variantes;specifications;nb_images;nb_pdf;pdf;url;images;decouvert_via
1594;COUPE PLAT 220 à 300;;;;;;c0fc8966-c77c-b9d2-1fdd-3a1f35ae645a;;6,05;6,05 € TTC / PC;TTC / PC;InStock;;;1;0;;https://www.aciersgrosjean.be/coupe-ipe-140-à-220-17;https://www.aciersgrosjean.be/images/thumbs/default-image_625.png;sitemap
1595;COUPE PLAT 350 à 400;;;;;;845c5a37-d47f-e2b1-f801-3a1f35aea4a1;;7,26;7,26 € TTC / PC;TTC / PC;InStock;;;1;0;;https://www.aciersgrosjean.be/coupe-ipe-140-à-220-18;https://www.aciersgrosjean.be/images/thumbs/default-image_625.png;sitemap
1585;COUPE TR SUP;;;;;;b946631c-950b-b4b4-f96d-3a1f3584f0f6;;6,41;6,41 € TTC / PC;TTC / PC;InStock;;;1;0;;https://www.aciersgrosjean.be/coupe-ipe-140-à-220-8;https://www.aciersgrosjean.be/images/thumbs/default-image_625.png;sitemap
1098;Tube acier rond diam 42,4X2,5 mm;;;;;;f095dae4-4005-4624-5476-3a13d725a124;;5,71;5,71 € TTC / PC;TTC / PC;InStock;;Épaisseur : 25 Milimètres | Longueur : 424 Milimètres;1;0;;https://www.aciersgrosjean.be/tube-acier-rond-diam-424x25-mm-2;https://www.aciersgrosjean.be/images/thumbs/default-image_625.png;sitemap
1392;Vasque 2;;;;;;9da80994-c9ec-0b86-aabe-3a19faace3db;;605,00;605,00 € TTC / PC;TTC / PC;InStock;;;1;0;;https://www.aciersgrosjean.be/vasque-2-2;https://www.aciersgrosjean.be/images/thumbs/default-image_625.png;sitemap
1391;Vasque Corten;;;;;;7af505af-a90a-0fa1-ef93-3a19fa9e8f55;;580,80;580,80 € TTC / PC;TTC / PC;InStock;;Longueur : 1000 mm | Largeur : 850 mm;1;0;;https://www.aciersgrosjean.be/vasque-corten-2;https://www.aciersgrosjean.be/images/thumbs/default-image_625.png;sitemap
68;Rond à béton de 10mm de diamètre en acier laminé à chaud;Acier;Armature béton;Rond à béton crénélé à chaud;;Acier | Acier > Armature béton;04603d0a-be7c-5386-a4fb-3a17a9db27ea;;1,48;1,48 € TTC / PC;TTC / PC;InStock;Longueur : 1m / 2m / 3m / 4m / 5m / 6m;Poids : 0.65 Kg;1;1;ACIERS POUR BETON ARME - RONDS - TREILLIS.pdf;https://www.aciersgrosjean.be/rond-à-béton-crénelé-de-10mm-de-diamètre-laminé-à-chaud;https://www.aciersgrosjean.be/images/thumbs/0001071_268a319ef96b4ccd8ee4af547e223fa2_625.jpeg;sitemap
69;Rond à béton de 12mm de diamètre en acier laminé à chaud;Acier;Armature béton;Rond à béton crénélé à chaud;;Acier | Acier > Armature béton;3c7acac9-a08d-0f6d-d134-3a17a9db2820;;2,15;2,15 € TTC / PC;TTC / PC;InStock;Longueur : 1m / 2m / 3m / 4m / 5m / 6m;Poids : 0.95 Kg;1;1;ACIERS POUR BETON ARME - RONDS - TREILLIS.pdf;https://www.aciersgrosjean.be/rond-à-béton-crénelé-de-12mm-de-diamètre-laminé-à-chaud;https://www.aciersgrosjean.be/images/thumbs/0001072_268a319ef96b4ccd8ee4af547e223fa2_625.jpeg;sitemap
70;Rond à béton de 14mm de diamètre en acier laminé à chaud;Acier;Armature béton;Rond à béton crénélé à chaud;;Acier | Acier > Armature béton;bf1e1e04-1e28-a172-8a2c-3a17a9db2844;;2,87;2,87 € TTC / PC;TTC / PC;InStock;Longueur : 1m / 2m / 3m / 4m / 5m / 6m;Poids : 1.27 Kg;1;1;ACIERS POUR BETON ARME - RONDS - TREILLIS.pdf;https://www.aciersgrosjean.be/rond-à-béton-crénelé-de-14mm-de-diamètre-laminé-à-chaud;https://www.aciersgrosjean.be/images/thumbs/0001073_268a319ef96b4ccd8ee4af547e223fa2_625.jpeg;sitemap
71;Rond à béton de 16mm de diamètre en acier laminé à chaud;Acier;Armature béton;Rond à béton crénélé à chaud;;Acier | Acier > Armature béton;794eecb1-2569-c716-19d9-3a17a9db28b5;;3,79;3,79 € TTC / PC;TTC / PC;InStock;Longueur : 1m / 2m / 3m / 4m / 5m / 6m;Poids : 1.68 Kg;1;1;ACIERS POUR BETON ARME - RONDS - TREILLIS.pdf;https://www.aciersgrosjean.be/rond-à-béton-crénelé-de-16mm-de-diamètre-laminé-à-chaud;https://www.aciersgrosjean.be/images/thumbs/0001074_268a319ef96b4ccd8ee4af547e223fa2_625.jpeg;sitemap
73;Rond à béton de 20mm de diamètre en acier laminé à chaud;Acier;Armature béton;Rond à béton crénélé à chaud;;Acier | Acier > Armature béton;b06822e5-0bc3-9b16-0ccd-3a17a9db2902;;5,89;5,89 € TTC / PC;TTC / PC;InStock;Longueur : 1m / 2m / 3m / 4m / 5m / 6m;Poids : 2.61 Kg;1;1;ACIERS POUR BETON ARME - RONDS - TREILLIS.pdf;https://www.aciersgrosjean.be/rond-à-béton-crénelé-de-20mm-de-diamètre-laminé-à-chaud;https://www.aciersgrosjean.be/images/thumbs/0001076_268a319ef96b4ccd8ee4af547e223fa2_625.jpeg;sitemap
67;Rond à béton de 8mm de diamètre en acier laminé à chaud;Acier;Armature béton;Rond à béton crénélé à chaud;;Acier | Acier > Armature béton;aa6af17c-017c-aef1-842f-3a17a9db27c1;;0,94;0,94 € TTC / PC;TTC / PC;InStock;Longueur : 1m / 2m / 3m / 4m / 5m / 6m;Poids : 0.41 Kg;1;1;INFOSTEEL - GRYMAFER - VM2013 - ACIERS POUR BETON ARME - RONDS - TREILLIS.pdf;https://www.aciersgrosjean.be/rond-à-béton-de-8mm-de-diamètre-en-acier-laminé-à-chaud;https://www.aciersgrosjean.be/images/thumbs/0001070_rond-a-beton-de-8mm-de-diametre-en-acier-lamine-a-chaud-test_625.jpeg;sitemap
66;Rond à béton crénelé de 6mm de diamètre en acier laminé à froid;Acier;Armature béton;Rond à béton crénélé à froid;;Acier | Acier > Armature béton;acb1da56-e8db-2218-fdaa-3a17a9db2780;;0,35;0,35 € TTC / PC;TTC / PC;InStock;Longueur : 1m / 2m / 3m / 4m / 5m / 6m;Poids : 0.24 Kg;1;1;ACIERS POUR BETON ARME - RONDS - TREILLIS.pdf;https://www.aciersgrosjean.be/rond-à-béton-crénelé-de-6mm-de-diamètre-laminé-à-froid;https://www.aciersgrosjean.be/images/thumbs/0001069_rond-a-beton-crenele-de-6mm-de-diametre-en-acier-lamine-a-froid_625.jpeg;sitemap
1263;Treillis soudé 100x100x10mm 5m x 2m;Acier;Armature béton;Treillis soudés;;Acier | Acier > Armature béton;77d54549-394e-a8e8-b2e4-3a1c688e3d47;;294,90;294,90 € TTC / PC;TTC / PC;InStock;;Poids : 123.4 Kg;3;1;TREILLIS SOUDE EN ACIER POUR LA CONSTRUCTION - ACIERS GROSJEAN-3.pdf;https://www.aciersgrosjean.be/treillis-soudé-100x100x10mm-5m-x-2m-2;https://www.aciersgrosjean.be/images/thumbs/0002373_119efc4a361345abb9c2ddd88629c9b8_625.jpeg | https://www.aciersgrosjean.be/images/thumbs/0002373_119efc4a361345abb9c2ddd88629c9b8.jpeg | https://www.aciersgrosjean.be/images/thumbs/0002374_4ede0b981ad04119bbf3a5b103714996.jpeg;sitemap
1261;Treillis soudé 100x100x5mm 5m x 2m;Acier;Armature béton;Treillis soudés;;Acier | Acier > Armature béton;08b56715-09f2-1cdc-8b1e-3a1c688e3adc;;75,29;75,29 € TTC / PC;TTC / PC;InStock;;Poids : 30.8 Kg;3;1;TREILLIS SOUDE EN ACIER POUR LA CONSTRUCTION - ACIERS GROSJEAN-3.pdf;https://www.aciersgrosjean.be/treillis-soudé-100x100x5mm-5m-x-2m;https://www.aciersgrosjean.be/images/thumbs/0002377_119efc4a361345abb9c2ddd88629c9b8_625.jpeg | https://www.aciersgrosjean.be/images/thumbs/0002377_119efc4a361345abb9c2ddd88629c9b8.jpeg | https://www.aciersgrosjean.be/images/thumbs/0002378_4ede0b981ad04119bbf3a5b103714996.jpeg;sitemap
1262;Treillis soudé 100x100x8mm 5m x 2m;Acier;Armature béton;Treillis soudés;;Acier | Acier > Armature béton;14c11cd5-bcc8-a362-2d12-3a1c688e3c6e;;188,80;188,80 € TTC / PC;TTC / PC;InStock;;Poids : 79 Kg;3;1;TREILLIS SOUDE EN ACIER POUR LA CONSTRUCTION - ACIERS GROSJEAN-3.pdf;https://www.aciersgrosjean.be/treillis-soudé-100x100x8mm-5m-x-2m-3;https://www.aciersgrosjean.be/images/thumbs/0002379_119efc4a361345abb9c2ddd88629c9b8_625.jpeg | https://www.aciersgrosjean.be/images/thumbs/0002379_119efc4a361345abb9c2ddd88629c9b8.jpeg | https://www.aciersgrosjean.be/images/thumbs/0002380_4ede0b981ad04119bbf3a5b103714996.jpeg;sitemap
1268;Treillis soudé 150x150x10mm 5m x 2m;Acier;Armature béton;Treillis soudés;;Acier | Acier > Armature béton;4970ee18-e006-aa69-797d-3a1c688e426a;;192,18;192,18 € TTC / PC;TTC / PC;InStock;;Poids : 80.83 Kg;3;1;AG - TS - 150x10 - 5000x2000 - P_524_A.pdf;https://www.aciersgrosjean.be/treillis-soudé-150x150x10mm-5m-x-2m-2;https://www.aciersgrosjean.be/images/thumbs/0002381_119efc4a361345abb9c2ddd88629c9b8_625.jpeg | https://www.aciersgrosjean.be/images/thumbs/0002381_119efc4a361345abb9c2ddd88629c9b8.jpeg | https://www.aciersgrosjean.be/images/thumbs/0002382_4ede0b981ad04119bbf3a5b103714996.jpeg;sitemap
