famille;slug;nom;alerte
aluminium-plat;plat-de-20x3mm-en-aluminium;Plat de 20x3mm en aluminium;poids site 0.17 kg/m ≠ théorique 0.16 kg/m (écart > 3 %) : non affiché
aluminium-plat;plat-de-25x3mm-en-aluminium;Plat de 25x3mm en aluminium;poids site 0.21 kg/m ≠ théorique 0.20 kg/m (écart > 3 %) : non affiché
aluminium-profil-t;profil-en-t-25x25x2mm-en-aluminium;Profil en T 25x25x2mm en aluminium;poids site 0.27 kg/m ≠ théorique 0.26 kg/m (écart > 3 %) : non affiché
aluminium-tube-carre;tube-carre-de-15x15x2mm-en-aluminium;Tube carré de 15x15x2mm en aluminium;poids site 0.31 kg/m ≠ théorique 0.28 kg/m (écart > 3 %) : non affiché
corniere-egale;corniere-egale-50x50x3mm-acier-lac;Cornière égale 50x50x3mm Acier LAC;50x50x3 absent du tableau fournisseur : rayons supposés (50x50x4)
corniere-egale;corniere-egale-50x50x3mm-acier-lac;Cornière égale 50x50x3mm Acier LAC;poids site 2.53 kg/m ≠ théorique 2.33 kg/m (écart > 3 %) : non affiché
inox-tube-carre;tube-carre-20x20x2mm-en-inox-304;Tube carré 20x20x2mm en Inox 304;poids site 1.22 kg/m ≠ théorique 1.14 kg/m (écart > 3 %) : non affiché
inox-tube-carre;tube-carre-25x25x2mm-en-inox-304;Tube carré 25x25x2mm en Inox 304;poids site 1.54 kg/m ≠ théorique 1.46 kg/m (écart > 3 %) : non affiché
inox-tube-carre;tube-carre-30x30x2mm-en-inox-304;Tube carré 30x30x2mm en Inox 304;poids site 1.86 kg/m ≠ théorique 1.78 kg/m (écart > 3 %) : non affiché
inox-tube-carre;tube-carre-35x35x2mm-en-inox-304;Tube carré 35x35x2mm en Inox 304;poids site 2.18 kg/m ≠ théorique 2.09 kg/m (écart > 3 %) : non affiché
inox-tube-carre;tube-carre-40x40x2mm-en-inox-304;Tube carré 40x40x2mm en Inox 304;poids site 2.5 kg/m ≠ théorique 2.41 kg/m (écart > 3 %) : non affiché
