slug;nom;famille;donnee;valeur;unite;source;supposee;alertes
carre-plein-de-10x10mm-en-acier;Carré plein de 10x10mm en acier;carre-plein;serie;CARRE;;nom du produit;;
carre-plein-de-10x10mm-en-acier;Carré plein de 10x10mm en acier;carre-plein;a;10;mm;nom du produit;;
carre-plein-de-10x10mm-en-acier;Carré plein de 10x10mm en acier;carre-plein;poids;0,8;kg/m;site actuel — fiche produit;;
carre-plein-de-10x10mm-en-acier;Carré plein de 10x10mm en acier;carre-plein;finition;BRUT;;aucune photo du site actuel : finition des barres laminées à chaud — non affichée;oui;
carre-plein-de-12x12mm-en-acier;Carré plein de 12x12mm en acier;carre-plein;serie;CARRE;;nom du produit;;
carre-plein-de-12x12mm-en-acier;Carré plein de 12x12mm en acier;carre-plein;a;12;mm;nom du produit;;
carre-plein-de-12x12mm-en-acier;Carré plein de 12x12mm en acier;carre-plein;poids;1,16;kg/m;site actuel — fiche produit;;
carre-plein-de-12x12mm-en-acier;Carré plein de 12x12mm en acier;carre-plein;finition;BRUT;;aucune photo du site actuel : finition des barres laminées à chaud — non affichée;oui;
carre-plein-de-14x14mm-en-acier;Carré plein de 14x14mm en acier;carre-plein;serie;CARRE;;nom du produit;;
carre-plein-de-14x14mm-en-acier;Carré plein de 14x14mm en acier;carre-plein;a;14;mm;nom du produit;;
carre-plein-de-14x14mm-en-acier;Carré plein de 14x14mm en acier;carre-plein;poids;1,58;kg/m;site actuel — fiche produit;;
carre-plein-de-14x14mm-en-acier;Carré plein de 14x14mm en acier;carre-plein;finition;BRUT;;aucune photo du site actuel : finition des barres laminées à chaud — non affichée;oui;
carre-plein-de-16x16mm-en-acier;Carré plein de 16x16mm en acier;carre-plein;serie;CARRE;;nom du produit;;
carre-plein-de-16x16mm-en-acier;Carré plein de 16x16mm en acier;carre-plein;a;16;mm;nom du produit;;
carre-plein-de-16x16mm-en-acier;Carré plein de 16x16mm en acier;carre-plein;poids;2,06;kg/m;site actuel — fiche produit;;
carre-plein-de-16x16mm-en-acier;Carré plein de 16x16mm en acier;carre-plein;finition;BRUT;;aucune photo du site actuel : finition des barres laminées à chaud — non affichée;oui;
carre-plein-de-20x20mm-en-acier;Carré plein de 20x20mm en acier;carre-plein;serie;CARRE;;nom du produit;;
carre-plein-de-20x20mm-en-acier;Carré plein de 20x20mm en acier;carre-plein;a;20;mm;nom du produit;;
carre-plein-de-20x20mm-en-acier;Carré plein de 20x20mm en acier;carre-plein;poids;3,22;kg/m;site actuel — fiche produit;;
