slug;categorie;fichier;type;verdict;date
studio-poutrelle-hea;/acier/poutrelles/hea;/images/produits/acier/poutrelles/hea/studio-poutrelle-hea.webp;studio;CONFORME;2026-09-14
poutrelle-hea-100-en-acier;/acier/poutrelles/hea;/images/produits/acier/poutrelles/hea/poutrelle-hea-100-en-acier-caracteristiques.webp;caracteristiques;CONFORME;2026-09-14
poutrelle-hea-120-en-acier;/acier/poutrelles/hea;/images/produits/acier/poutrelles/hea/poutrelle-hea-120-en-acier-caracteristiques.webp;caracteristiques;CONFORME;2026-09-14
poutrelle-hea-140-en-acier;/acier/poutrelles/hea;/images/produits/acier/poutrelles/hea/poutrelle-hea-140-en-acier-caracteristiques.webp;caracteristiques;CONFORME;2026-09-14
poutrelle-hea-160-en-acier;/acier/poutrelles/hea;/images/produits/acier/poutrelles/hea/poutrelle-hea-160-en-acier-caracteristiques.webp;caracteristiques;CONFORME;2026-09-14
poutrelle-hea-180-en-acier;/acier/poutrelles/hea;/images/produits/acier/poutrelles/hea/poutrelle-hea-180-en-acier-caracteristiques.webp;caracteristiques;CONFORME;2026-09-14
poutrelle-hea-200-en-acier;/acier/poutrelles/hea;/images/produits/acier/poutrelles/hea/poutrelle-hea-200-en-acier-caracteristiques.webp;caracteristiques;CONFORME;2026-09-14
poutrelle-hea-220-en-acier;/acier/poutrelles/hea;/images/produits/acier/poutrelles/hea/poutrelle-hea-220-en-acier-caracteristiques.webp;caracteristiques;CONFORME;2026-09-14
poutrelle-hea-240-en-acier;/acier/poutrelles/hea;/images/produits/acier/poutrelles/hea/poutrelle-hea-240-en-acier-caracteristiques.webp;caracteristiques;CONFORME;2026-09-14
poutrelle-hea-260-en-acier;/acier/poutrelles/hea;/images/produits/acier/poutrelles/hea/poutrelle-hea-260-en-acier-caracteristiques.webp;caracteristiques;CONFORME;2026-09-14
poutrelle-hea-280-en-acier;/acier/poutrelles/hea;/images/produits/acier/poutrelles/hea/poutrelle-hea-280-en-acier-caracteristiques.webp;caracteristiques;CONFORME;2026-09-14
poutrelle-hea-300-en-acier;/acier/poutrelles/hea;/images/produits/acier/poutrelles/hea/poutrelle-hea-300-en-acier-caracteristiques.webp;caracteristiques;CONFORME;2026-09-14
studio-poutrelle-heb;/acier/poutrelles/heb;/images/produits/acier/poutrelles/heb/studio-poutrelle-heb.webp;studio;CONFORME;2026-09-14
poutrelle-heb-100-en-acier;/acier/poutrelles/heb;/images/produits/acier/poutrelles/heb/poutrelle-heb-100-en-acier-caracteristiques.webp;caracteristiques;CONFORME;2026-09-14
poutrelle-heb-120-en-acier;/acier/poutrelles/heb;/images/produits/acier/poutrelles/heb/poutrelle-heb-120-en-acier-caracteristiques.webp;caracteristiques;CONFORME;2026-09-14
poutrelle-heb-140-en-acier;/acier/poutrelles/heb;/images/produits/acier/poutrelles/heb/poutrelle-heb-140-en-acier-caracteristiques.webp;caracteristiques;CONFORME;2026-09-14
